length,references,links,citations_template,citations_non_template,categories,-1obox,images,l2_headings,l3plus_headings,languages,flesch,flesch_kincaid,smog,coleman_liau,ari,dale_chall,linsear_write,gunning_fog,spache
88830,141,534,1,140,3,0,15,14,1,3,48.18,12.15,16.81,10.68,12.56,11.63,15.86,14.55,8.37
1659,0,26,0,0,8,0,0,0,0,1,22.17,27.1,-1,6.35,32.15,19.83,44.5,32.34,18.24
25791,38,192,16,22,7,0,1,10,0,0,50.0,13.96,15.29,8.86,15.15,13.67,19.91,16.42,10.16
6527,1,41,0,1,3,1,0,6,0,0,63.57,9.54,12.28,7.46,9.1,10.61,13.15,11.64,7.56
54486,122,359,1,121,3,1,16,9,2,5,57.45,8.11,13.02,9.89,7.13,11.96,7.18,9.39,7.32
53566,126,174,23,103,14,0,0,9,15,0,42.15,15.8,17.95,10.51,17.98,12.15,23.49,17.76,10.04
15851,15,142,4,11,6,1,6,1,0,41,56.63,10.91,13.92,8.87,10.98,12.95,15.01,13.08,9.05
36229,85,123,13,72,3,0,0,4,9,0,30.68,18.39,15.99,10.66,20.1,13.32,26.31,20.3,11.09
14209,1,154,0,1,6,0,0,0,0,7,53.2,11.87,14.02,8.29,11.44,10.79,16.34,14.47,8.18
78236,110,391,77,33,14,1,20,10,2,32,50.57,11.74,15.16,10.93,12.61,10.92,15.57,14.47,7.97
4723,0,50,7,-7,4,1,0,4,0,4,59.58,12.26,-1,7.0,12.93,13.03,18.61,15.24,9.99
7331,4,40,0,4,6,0,1,2,0,1,55.15,11.21,13.66,9.47,11.65,9.86,15.11,13.19,7.6
3339,4,24,4,0,3,1,0,3,0,0,53.84,11.8,-1,8.44,11.6,12.46,16.11,13.19,9.31
4639,4,20,4,0,5,1,0,0,0,1,41.96,15.58,-1,9.14,16.38,14.15,22.86,18.21,11.44
15194,25,78,17,8,3,1,0,5,2,0,48.14,11.48,14.65,9.83,10.59,11.28,14.12,12.82,8.28
4253,0,60,0,0,3,0,1,3,0,0,60.37,10.6,-1,6.87,9.8,11.41,15.75,14.36,8.52
15899,34,115,13,21,18,1,0,7,5,0,38.52,16.24,17.62,11.04,18.27,13.08,23.5,17.98,10.62
13403,36,113,13,23,7,1,0,5,0,0,44.06,14.67,15.29,10.66,16.35,12.09,20.21,16.66,9.64
43314,65,251,1,64,11,2,2,9,13,2,48.75,11.47,14.88,11.19,11.83,11.68,14.11,13.25,8.2
43267,29,229,0,29,3,0,2,7,5,25,34.79,15.95,16.36,12.02,17.41,11.53,21.99,17.69,9.37
5766,11,40,10,1,3,1,1,5,0,0,39.57,15.24,-1,10.34,16.0,15.0,22.8,19.54,11.29
3908,0,38,0,0,5,1,1,1,0,0,61.91,10.27,-1,8.69,11.03,11.65,14.42,12.58,8.69
20212,44,95,22,22,6,2,2,6,1,1,51.23,12.68,16.4,10.84,14.54,11.9,17.43,14.71,9.17
14200,22,75,0,22,6,0,4,0,0,0,45.6,12.1,13.56,11.31,12.28,10.95,14.71,14.97,8.13
37030,40,195,26,14,4,1,0,10,10,0,48.18,14.05,17.88,10.15,15.86,13.2,20.04,16.84,10.22
9292,2,96,0,2,2,1,0,9,3,13,54.78,12.76,14.46,7.27,12.82,12.66,18.74,15.12,9.71
4545,9,27,9,0,1,1,0,2,1,0,59.54,12.98,-1,2.96,11.13,19.19,20.18,15.77,13.46
31178,59,110,4,55,6,1,1,6,2,0,28.63,19.2,16.97,11.91,22.16,11.22,27.73,21.38,10.36
1032,1,11,1,0,6,0,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
23697,44,128,29,15,9,1,0,7,6,0,49.16,14.59,15.77,7.93,15.44,12.34,21.81,16.84,10.27
1996,2,18,0,2,1,1,0,0,0,0,-1.9,26.08,-1,12.18,27.77,19.74,38.67,29.93,15.61
103754,165,549,128,37,1,1,0,10,13,56,34.08,15.21,18.17,14.33,17.61,11.8,19.29,16.44,9.09
26468,95,135,35,60,5,0,0,1,0,4,42.74,12.63,16.07,11.12,12.37,13.95,15.0,13.46,9.33
9432,4,88,0,4,1,1,0,3,7,0,-56.57,56.03,-1,1.2,65.49,24.61,82.5,59.75,29.61
32046,76,102,21,55,6,0,5,0,0,3,33.82,16.1,18.49,11.6,17.12,11.48,21.79,18.06,9.28
9531,16,41,11,5,2,1,0,6,0,0,35.9,14.67,15.95,13.84,16.65,11.65,18.21,14.94,8.89
5159,9,49,0,9,7,0,0,2,0,1,74.55,5.83,11.14,6.18,4.3,11.22,6.96,8.03,6.74
40546,34,272,23,11,19,1,9,8,4,17,39.53,14.25,17.54,10.95,14.49,11.76,18.32,16.41,9.07
877,0,10,0,0,1,1,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
40778,94,234,19,75,5,1,9,11,0,7,53.43,11.76,17.24,8.97,11.84,11.68,15.86,13.63,8.72
35267,58,131,0,58,4,0,3,7,7,4,62.02,8.49,12.28,9.31,8.28,10.95,10.58,10.61,7.18
33462,34,136,1,33,6,1,1,11,0,15,55.5,11.07,18.24,9.89,11.81,10.72,15.04,12.74,7.93
11772,13,125,6,7,8,1,0,2,0,7,23.11,26.9,-1,4.89,30.84,17.32,40.93,30.71,17.62
12032,6,45,1,5,1,0,0,6,6,2,42.27,13.89,15.51,11.65,15.1,10.88,18.68,16.09,8.58
8454,0,58,1,-1,7,1,0,0,0,6,53.21,12.12,13.71,9.49,12.9,11.65,16.64,14.11,9.0
2697,0,34,0,0,5,1,1,1,0,3,46.37,16.81,-1,6.21,17.77,13.9,25.88,20.37,11.96
49229,128,182,35,93,8,1,6,8,7,0,24.99,18.53,19.95,13.09,20.72,12.2,26.05,21.48,10.15
17902,28,154,2,26,15,1,0,3,2,4,60.04,10.56,12.28,8.09,10.59,10.75,14.49,12.43,7.97
4569,4,13,4,0,2,1,0,1,0,0,31.42,15.38,-1,12.88,16.06,12.76,19.5,15.42,9.8
19351,60,60,29,31,4,0,0,5,2,0,40.86,13.22,16.2,12.31,13.96,11.32,16.68,15.75,8.6
10024,21,61,6,15,2,4,1,4,3,0,58.12,11.16,15.11,8.05,11.21,11.69,16.31,13.55,8.78
81861,220,327,0,220,9,0,2,13,5,42,53.23,11.65,14.6,9.76,12.21,10.0,15.54,14.39,7.67
37090,60,282,11,49,14,0,1,7,7,0,49.81,12.69,14.93,9.64,13.21,11.89,17.43,15.21,8.72
1303,1,27,0,1,4,0,0,2,0,1,70.3,9.26,-1,3.64,7.29,13.28,14.33,12.2,9.51
2047,5,28,0,5,3,0,0,1,0,5,59.35,11.45,-1,5.98,10.44,10.61,16.44,13.14,8.05
3448,0,30,0,0,9,0,0,1,0,0,60.05,10.36,-1,7.99,10.14,10.49,14.12,12.58,7.82
59530,128,200,89,39,5,1,0,5,0,0,39.63,15.84,16.77,9.62,16.62,12.08,22.37,18.03,10.15
6077,14,11,6,8,1,1,0,0,0,0,46.53,13.01,-1,10.52,13.64,10.75,17.28,15.36,8.88
20792,25,98,0,25,1,0,5,6,5,2,36.7,14.67,15.16,12.49,15.8,11.93,19.13,17.79,8.99
49637,53,298,0,53,3,0,11,8,13,23,39.5,12.67,15.51,12.92,13.04,11.24,14.83,15.2,8.16
84204,171,378,109,62,29,1,0,2,6,23,49.82,12.72,15.47,9.29,12.99,12.38,17.55,15.63,9.23
20063,56,126,18,38,9,1,4,4,2,0,55.88,11.31,14.07,8.99,11.64,11.8,15.78,13.47,8.69
6708,14,32,0,14,4,0,0,1,0,0,14.33,21.93,-1,13.02,24.56,13.11,32.67,24.11,11.62
747,0,11,0,0,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
16711,7,133,5,2,5,1,1,0,0,1,63.36,10.77,12.1,8.22,12.02,10.89,15.97,13.88,8.63
33113,90,222,30,60,18,1,0,6,4,4,56.26,12.01,16.69,7.83,12.18,12.42,17.59,14.8,9.25
810,0,10,0,0,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
27783,45,119,28,17,13,0,0,8,1,0,61.96,7.57,13.24,9.36,6.83,11.18,7.24,9.39,6.72
23925,83,117,0,83,2,1,2,6,3,3,44.83,12.76,15.29,10.69,12.83,11.57,16.43,14.22,8.46
5295,13,25,3,10,6,0,0,3,2,0,48.61,11.09,-1,10.78,10.76,11.38,12.9,11.87,7.86
61348,45,346,0,45,2,0,14,11,19,20,45.38,11.37,13.02,10.73,10.41,11.5,12.89,13.9,7.67
328,0,7,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5116,3,48,3,0,11,1,0,3,4,7,35.51,16.79,-1,9.9,17.61,13.42,25.14,17.36,10.9
15211,6,104,0,6,11,0,0,9,0,2,53.08,12.31,15.38,9.36,13.14,11.48,17.6,15.05,8.71
1314,2,19,0,2,1,0,0,1,0,0,56.47,8.62,-1,5.54,4.19,14.27,8.44,11.32,8.46
4111,2,13,0,2,0,1,0,2,0,0,-43.46,53.89,-1,9.34,71.37,22.73,88.25,60.9,28.67
4952,3,54,0,3,2,0,0,1,0,1,57.36,9.78,-1,6.88,7.46,11.48,12.31,11.68,8.07
6243,10,39,0,10,5,0,0,7,0,0,58.29,11.73,-1,7.5,11.94,12.36,17.19,13.58,9.61
10158,0,51,0,0,3,0,1,3,0,1,47.53,12.92,15.65,8.57,12.18,12.18,17.88,16.95,8.6
43227,121,200,64,57,14,1,0,6,14,0,62.98,10.15,14.36,8.24,10.72,10.59,14.67,12.88,8.11
16521,38,112,8,30,11,1,0,4,3,0,53.67,11.08,13.4,9.26,10.84,11.08,14.61,13.03,8.12
5276,7,48,5,2,5,1,0,6,0,0,52.78,12.4,-1,8.78,12.76,14.6,17.03,14.92,10.76
17103,2,139,0,2,9,0,3,10,1,32,50.85,11.48,13.02,9.81,11.29,11.38,14.8,13.89,8.09
48129,51,127,43,8,8,1,0,10,17,0,26.62,17.9,17.81,15.72,22.02,12.99,24.05,19.54,10.55
57630,180,160,33,147,9,0,0,3,17,9,39.77,15.2,16.2,11.44,16.84,11.75,21.42,17.88,9.35
27253,0,103,0,0,4,0,6,0,5,3,36.21,13.0,14.17,13.19,13.03,12.4,14.59,16.07,8.1
13474,35,65,9,26,10,1,0,7,0,0,44.68,13.02,15.38,10.53,13.17,11.83,17.22,14.2,8.77
43886,10,259,26,-16,19,1,1,9,0,1,51.3,12.22,18.91,9.76,12.8,11.7,16.8,14.47,8.82
27926,4,290,2,2,8,0,2,9,6,9,54.76,11.09,13.24,8.64,10.64,10.96,14.78,13.75,7.88
57142,99,409,1,98,18,1,1,9,6,10,45.64,13.81,18.46,9.51,14.17,12.43,19.72,15.96,9.64
1404,0,18,0,0,2,0,0,1,0,0,80.42,5.62,-1,3.9,3.43,11.0,6.93,7.14,6.89
53515,209,316,24,185,7,0,4,0,0,0,63.71,9.56,12.04,7.73,9.39,11.72,12.91,11.49,8.22
31912,0,301,0,0,18,1,1,12,0,16,49.96,11.26,14.51,9.47,10.38,10.9,14.44,13.54,7.88
51602,9,635,3,6,15,1,15,15,26,68,52.28,12.38,15.69,9.16,12.89,12.12,16.9,14.22,8.94
15520,36,67,35,1,3,1,2,5,0,0,43.03,13.13,14.7,10.95,13.28,11.16,16.75,15.31,8.64
2216,0,14,0,0,2,1,0,4,0,0,17.94,17.94,-1,14.52,18.71,16.53,22.69,18.36,11.72
101858,145,568,55,90,42,1,0,10,32,76,44.07,12.8,16.81,11.67,13.5,12.18,16.14,13.92,8.95
10604,14,47,1,13,11,1,0,5,0,1,11.83,24.93,-1,11.65,28.92,14.11,37.9,26.5,13.6
109634,196,674,135,61,5,0,10,1,3,78,50.77,12.41,15.47,8.57,12.06,12.33,17.3,15.03,9.09
